node_id,node_type,label,handle,degree,total_comments
UC4wq3DcbfaG6dtCqn8Oyu3w,author,@hugoasencio7764,/@hugoasencio7764,1,1
UCVC2QugcI1G4RvlCiUqd1aQ,author,@rwdm76,/@rwdm76,1,2
UCXVLc8CmAO813ubM-fLvCDw,author,@herminiasaquimux7565,/@herminiasaquimux7565,1,1
UCwW2OFy95P7ZBkOPxWkpvYg,author,@TeresaLucero-b5o,/@TeresaLucero-b5o,1,2
UC3XTwHxygNCgjndsg-UiCQA,author,@marioajset4283,/@marioajset4283,1,3
UCgQw_Sbq3ugruDUKsq1e0-A,author,@marlenareano-h4t,/@marlenareano-h4t,1,1
UCL13XhnRzbGokEkCkEOb0-g,author,@raquelprado3643,/@raquelprado3643,1,2
UCQtSFINs1h6GHkpg9o5kMvg,author,@MacarioMartinezruiz,/@MacarioMartinezruiz,1,1
UC2ngpd8UBQu4gcUYy0goAtg,author,@juliohernandez7438,/@juliohernandez7438,1,1
UC7IMsCxfZyWN7YQo8-JYa6Q,author,@Burgos68,/@Burgos68,1,2
UCzSfZlOVxBSs5ObD25ywxDQ,author,@GilmarMaldonado-q9m,/@GilmarMaldonado-q9m,1,1
UCLFdHr9BEbXHkoJopbEPLZw,author,@kanterra4584,/@kanterra4584,1,2
UCNkcuy42zEwddwEcOd_HpnA,author,@vanigomez492,/@vanigomez492,1,1
UCJp3OrVYcBorC94sKwdch_A,author,@ULJoshmg2011,/@ULJoshmg2011,1,1
UCLh1Kde4_vI1sTZBkTNP7RQ,author,@JoelReynoso-d4r,/@JoelReynoso-d4r,1,1
UCThW2XNsAaBKme5PUt7n-Zg,author,@thelmamoran8565,/@thelmamoran8565,1,1
UC6YSZqL0vEcI-niPKIMUGfw,author,@maxwellsales885,/@maxwellsales885,1,1
UCNBnKqWf4d-rS4HwJRQljmQ,author,@LE_A22,/@LE_A22,1,2
UCO0zwwLWGyDgQmWPJ5Qrr1w,author,@elsalvador3605,/@elsalvador3605,1,1
UCwjUvRseNtJoItylIyIez7Q,author,@Silviazea,/@Silviazea,1,1
UCTwSut16JyAg3mX6LVUNGqA,author,@SuperVictor2005,/@SuperVictor2005,1,1
UCLggDc_a5HriXv7I1h02sOA,author,@guillermogonzalez5153,/@guillermogonzalez5153,1,2
UCwO2SXr0ggzwg6QWWrr01nQ,author,@ricardofigueroa5720,/@ricardofigueroa5720,1,1
UC816IGbFCZinfYS1LRDaaHg,author,@ingenieroar,/@ingenieroar,1,1
UC3qn1yJA5PeW9rkGPatQxiw,author,@VICTOREST19,/@VICTOREST19,1,1
UCaT4saRcyqCLE657Rq2hhZQ,author,@elmilenial4064,/@elmilenial4064,1,1
UCc_F88PzGWtA1OPNUEASulA,author,@rockyscarlet,/@rockyscarlet,1,1
UCErZPJpHmLCsXs8ZWkAUupQ,author,@dorisl.garciaroche7763,/@dorisl.garciaroche7763,1,1
UCFOxCyF926Y9eHhMeVoWLzw,author,@arielsarc09,/@arielsarc09,1,1
UC72gBAtyb_VXQlYDcFrh6oQ,author,@osmanmorales3012,/@osmanmorales3012,1,3
UCi1b_TRQfgO1Z9O2gNGGWNA,author,@davidisraelesquitsaquil,/@davidisraelesquitsaquil,1,2
UCBlm80VQ4YoV3bUJR_XhkaQ,author,@rosadiaz6945,/@rosadiaz6945,1,2
UColMq7LmaoY3MT6aIDGrGvA,author,@quijotachapina1,/@quijotachapina1,1,1
UCat2qkYvqmtDNEmo2PVuhXw,author,@DoraSalas-j5o,/@DoraSalas-j5o,1,1
UCSTAUWVc1_82DHYeqOsqEFA,author,@TheAlexX_C,/@TheAlexX_C,1,1
UCcFIBN-rtC3d3hXeuN5TfWw,author,@DenisRMC,/@DenisRMC,1,1
UCV0lM03g5fg5pbPj97-sAtA,author,@genarodelgado3929,/@genarodelgado3929,1,1
UC_ljZ1hZXR9pzexFz87P5ZA,author,@ChRiStOpHeR7969,/@ChRiStOpHeR7969,1,1
UCLXYp1Cvc5DLtq5UQL5D9vw,author,@jorgecifuentes-m5g,/@jorgecifuentes-m5g,1,1
UCfjhejO7LZy4doXURa7LZCQ,author,@HonwayLee-z5g,/@HonwayLee-z5g,1,1
UCplrIQtaPj6au60_f2-mOYw,author,@romeolopezherrarte799,/@romeolopezherrarte799,1,1
UCql1n3Ey6ULMSOACjMe-fxQ,author,@RolandoGonzalez-o7g,/@RolandoGonzalez-o7g,1,1
UCZFQwqh90apuL8eFhvRBkUg,author,@luisricardo9671,/@luisricardo9671,1,1
UCyJhqmMbsvjpoarBBStA2kg,author,@Murmullodelbarrio,/@Murmullodelbarrio,1,6
UC63tFvbQ_hJhGDi2nbjssjw,author,@AbigailRodas-w2r,/@AbigailRodas-w2r,1,1
UCtCtts20bW6F9CSohau51Iw,author,@carlosgranados9875,/@carlosgranados9875,1,2
UCcfdg8crmMJwEuLUsAhV7yg,author,@RolandoRaguay,/@RolandoRaguay,1,1
UC6Uj1FT5JjDSF8vudvDxPAA,author,@alfredoortega9264,/@alfredoortega9264,1,1
UCj-LL25XJnjxepPKCc3NGog,author,@anaaguirre8985,/@anaaguirre8985,1,1
UC1DpqK6vaPEkBOMNvypsKYg,author,@HectorCarranza-u4j4o,/@HectorCarranza-u4j4o,1,1
UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,/@inge_vergueta,3,3
UCDftMWXQoJ6nONfY7GVOVjg,author,@luisgpacheco5858,/@luisgpacheco5858,1,1
UCYwpX26TrCxq8TvbKGRYLXA,author,@beneficioelcaminovillacana8540,/@beneficioelcaminovillacana8540,1,1
UCUIIIPTVDVHAXqhC_5V6lPA,author,@gorrarota,/@gorrarota,1,1
UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,/@josegil3813,2,2
UCNIeXbV_mEwpa412h1aqUWw,author,@juandeleon9060,/@juandeleon9060,1,3
UC_6KbBY1bsYXz9fwFS0eQRg,author,@imrcp5694,/@imrcp5694,1,1
UCDQaQv0hr2SS_PO-CMEwVHg,author,@federicosaquimux1933,/@federicosaquimux1933,1,1
UCefAH1MbvADWUjE9WVcB9EQ,author,@jabriz8152,/@jabriz8152,1,1
UCEHXl4VvvVpq-_4xC5tsbhg,author,@anibalg47,/@anibalg47,1,1
UCeQk-WfEA-cJRq4EKeE7TOw,author,@franciscojuarez9223,/@franciscojuarez9223,1,1
UCkd9W714-947dEE6ZOEBATA,author,@ARGELIATELON,/@ARGELIATELON,1,2
UCljDbleJul41G1TzOjOZAVA,author,@hectorcarranza3777,/@hectorcarranza3777,1,1
UCGGHbtfbbe0o68etrOf0qxw,author,@karensussetteleonvargas9794,/@karensussetteleonvargas9794,1,1
UCVdjCrh4tQoX3haNAZv-n5A,author,@aurahernandez5646,/@aurahernandez5646,1,1
UCZeIIQrGAedW8tCbKWmGY-A,author,@mariocordon8873,/@mariocordon8873,1,1
UCFUuDARXdmmIrLppEqf-rFg,author,@allanmunoz7410,/@allanmunoz7410,1,1
UCCUmP4PlbwgikVFpYwbtRTg,author,@alhvi,/@alhvi,1,1
UCfXykdbSU97rj987LDUGfvg,author,@MariaSantos-c8y3h,/@MariaSantos-c8y3h,1,1
UC4Avya4kmR4Q0FrfFdBozSQ,author,@davidlima1348,/@davidlima1348,1,1
UChep9kVb5gQmpodEEl10Xlg,author,@carlosaguilar-kz7ml,/@carlosaguilar-kz7ml,1,1
UCtsxPYw8VUsH_FfnKg-0lmw,author,@AlejandroPérez-b6r,/@AlejandroP%C3%A9rez-b6r,1,1
UCRlCV9zSn7avAWh-9_XFWqQ,author,@ronyarana8849,/@ronyarana8849,1,1
UCfo_yUPzy1f1POwwZxhZ06Q,author,@lara11roberto,/@lara11roberto,1,1
UCTylKrsqkrBKIqubMu_5N0Q,author,@edwingeovanymarroquinmarro6684,/@edwingeovanymarroquinmarro6684,1,1
UC5hvEnRUzI4Kfvwnyi4QxqQ,author,@leonelsantizo5281,/@leonelsantizo5281,1,1
UCVhif9eV0f8plICen2DnpKA,author,@blogarteplus,/@blogarteplus,1,1
UC1vr9aaMI2crB0NvwFHUeoQ,author,@JoseSimilox-p6e,/@JoseSimilox-p6e,1,1
UCEgEQmRbtL5fwr9_DqAC--g,author,@ArielRodas-g5y,/@ArielRodas-g5y,1,1
UCIUhbSCy3-SGRe5UtqM4fzQ,author,@jeanmorales1677,/@jeanmorales1677,1,1
UCozFYHN0e_-vlQbX3wQGOug,author,@jesusguzman2321,/@jesusguzman2321,1,1
UCQMMuADgqWUOcJpLwHOzC-g,author,@Ripped-Yoda,/@Ripped-Yoda,1,1
UC-QOpE7GOxlXcHZ8b7HbQKA,author,@mariaalexander427,/@mariaalexander427,1,2
UC0RpuMwkDKJYqgKHtsJRuWQ,author,@sabinamarinaguerra3248,/@sabinamarinaguerra3248,1,1
UC-HeUTT6_g-VoiWds2a4H-w,author,@JorgeMunoz-gd9et,/@JorgeMunoz-gd9et,1,1
UC2Y_EHWQKevubk4vOEBBFxw,author,@alfonsomorales2653,/@alfonsomorales2653,1,1
